Grupo;Serviço;Link de informação do serviço
Consulta a Informações de Registro;Certidão de Propriedade e Ônus Reais;https://www.anac.gov.br/assuntos/setor-regulado/aeronaves/registro/informacoes-de-registro/certidao-de-propriedade-e-onus-reais
Consulta a Informações de Registro;Certidão Negativa de Propriedade de Aeronaves (CNPA);https://www.anac.gov.br/assuntos/setor-regulado/aeronaves/registro/informacoes-de-registro/cnpa
Consulta a Informações de Registro;Cópia Reprográfica de Documentos constantes nos arquivos do RAB;https://www.anac.gov.br/assuntos/setor-regulado/aeronaves/registro/informacoes-de-registro/copia-reprografica-de-documentos-constantes-nos-arquivos-do-rab
Consulta a Informações de Registro;Informações de desregistro e de não registro de aeronaves;https://www.anac.gov.br/assuntos/setor-regulado/aeronaves/registro/informacoes-de-registro/desregistro-nao-registro-de-aeronaves
Consulta a Informações de Registro;Pesquisa de Informação de Aeronaves no Registro Aeronáutico Brasileiro;https://www.anac.gov.br/assuntos/setor-regulado/aeronaves/registro/informacoes-de-registro/pesquisa-de-informacao
Consulta a Informações de Registro;Acompanhamento de processo administrativo do Registro Aeronáutico;https://www.anac.gov.br/assuntos/setor-regulado/aeronaves/registro/informacoes-de-registro/processo-administrativo-rab
Matrículas e Certificados;Emissão dos Certificados de Matrícula e de Aeronavegabilidade;https://www.anac.gov.br/assuntos/setor-regulado/aeronaves/registro/matriculas-e-certificados/emissao-ca-cm
Matrículas e Certificados;Revalidação de Certificado de Aeronavegabilidade;https://www.anac.gov.br/assuntos/setor-regulado/aeronaves/registro/matriculas-e-certificados/revalidacao-de-ca
Matrículas e Certificados;Reserva de Marcas de Nacionalidade e Matrícula;https://www.anac.gov.br/assuntos/setor-regulado/aeronaves/registro/matriculas-e-certificados/reserva-de-marcas-de-nacionalidade-e-matricula
Matrículas e Certificados;Matrícula;https://www.anac.gov.br/assuntos/setor-regulado/aeronaves/registro/matriculas-e-certificados/matricula
Matrículas e Certificados;Matrícula de Aeronave Experimental;https://www.anac.gov.br/assuntos/setor-regulado/aeronaves/registro/matriculas-e-certificados/matricula-anv-experimental
