Atualizado em: 2020-08-06
"OACI";"CIAD";"AERÓDROMO";"MUNICÍPIO";"UF";"CLASSE PBZR"
"SBCZ";"AC0002";"Aeródromo Cruzeiro do Sul";"Cruzeiro do Sul";"AC";"PBZR - 4"
"SBTF";"AM0004";"Aeródromo Tefé";"Tefé";"AM";"PBZR - 3"
"SBTT";"AM0005";"Aeródromo Tabatinga";"Tabatinga";"AM";"PBZR - 3"
"SWPI";"AM0006";"Aeródromo Parintins";"Parintins";"AM";"PBZR - 2"
"SWEI";"AM0009";"Aeródromo Eirunepé";"Eirunepé";"AM";"PBZR - 1"
"SBOI";"AP0002";"Aeródromo Oiapoque";"Oiapoque";"AP";"PBZR - 1"
"SBVC";"BA0005";"Aeródromo Glauber de Andrade Rocha";"VITÓRIA DA CONQUISTA";"BA";"PBZR - 4"
"SBUF";"BA0007";"Aeródromo Paulo Afonso";"Paulo Afonso";"BA";"PBZR - 2"
"SNGI";"BA0009";"Aeródromo Guanambi";"Guanambi";"BA";"PBZR - 2"
"SNIO";"BA0010";"Aeródromo Cipó";"Cipó";"BA";"PBZR - 1"
"SSCV";"BA0012";"Aeródromo Caravelas";"Caravelas";"BA";"PBZR - 2"
"SDIY";"BA0013";"Aeródromo João Durval Carneiro";"Feira de Santana";"BA";"PBZR - 2"
"SNYT";"BA0014";"Aeródromo Ituaçu";"Ituaçu";"BA";"PBZR - 1"
"SNTF";"BA0016";"Aeródromo Teixeira de Freitas";"Teixeira de Freitas";"BA";"PBZR - 2"
"SNXQ";"BA0018";"Aeródromo Xique-Xique";"Xique-Xique";"BA";"PBZR - 1"
"SNIC";"BA0019";"Aeródromo Irecê";"Irecê";"BA";"PBZR - 1"
"SNED";"BA0023";"Aeródromo Sócrates Rezende";"Canavieiras";"BA";"PBZR - 1"
"SNNH";"BA0024";"Aeródromo Carinhanha";"Carinhanha";"BA";"PBZR - 1"
"SNIU";"BA0030";"Aeródromo Ipiaú";"Ipiaú";"BA";"PBZR - 1"
"SNMJ";"BA0031";"Aeródromo Maracás";"Maracás";"BA";"PBZR - 1"
"SNQU";"BA0032";"Aeródromo Mucugê";"Mucugê ";"BA";"PBZR - 1"
"SSRF";"BA0034";"Aeródromo Castro Alves";"Castro Alves";"BA";"PBZR - 1"
"SSLS";"BA0035";"Aeródromo Ruy Barbosa";"Ruy Barbosa";"BA";"PBZR - 1"
"SBLP";"BA0037";"Aeródromo Bom Jesus da Lapa";"Bom Jesus da Lapa";"BA";"PBZR - 2"
"SDLE";"BA0038";"Aeródromo Rio de Contas";"Rio de Contas";"BA";"PBZR - 1"
"SDLI";"BA0039";"Aeródromo Jeová Gomes Correa";"Abaré";"BA";"PBZR - 1"
"SNBL";"BA0041";"Aeródromo Belmonte";"Belmonte";"BA";"PBZR - 1"
"SNDW";"BA0043";"Aeródromo Divisa";"Encruzilhada";"BA";"PBZR - 1"
"SNIB";"BA0045";"Aeródromo Itaberaba";"Itaberaba";"BA";"PBZR - 1"
"SNIT";"BA0046";"Aeródromo Ibotirama";"Ibotirama";"BA";"PBZR - 1"
"SNJK";"BA0047";"Aeródromo Jequié";"Jequié";"BA";"PBZR - 1"
"SNRD";"BA0048";"Aeródromo Prado";"Prado";"BA";"PBZR - 1"
"SNVD";"BA0050";"Aeródromo Santa Maria da Vitória";"Santa Maria da Vitória";"BA";"PBZR - 1"
"SNKO";"BA0055";"Aeródromo Brotas de Macaúbas";"Brotas de Macaúbas";"BA";"PBZR - 1"
"SNSE";"BA0056";"Aeródromo Sento Sé";"Sento Sé";"BA";"PBZR - 1"
"SNIP";"BA0057";"Aeródromo Itapetinga";"Itapetinga";"BA";"PBZR - 1"
"SNJB";"BA0062";"Aeródromo Jacobina";"Jacobina";"BA";"PBZR - 1"
"SNZW";"BA0063";"Aeródromo Ituberá";"Ituberá";"BA";"PBZR - 1"
"SNKS";"BA0064";"Aeródromo Santa Rita de Cássia";"Santa Rita de Cássia";"BA";"PBZR - 1"
"SBJE";"CE0003";"Aeródromo Comandante Ariston Pessoa";"Cruz";"CE";"PBZR - 3"
"SBCN";"GO0003";"Aeródromo Caldas Novas";"Caldas Novas";"GO";"PBZR - 4"
"SWLC";"GO0009";"Aeródromo General Leite de Castro";"Rio Verde";"GO";"PBZR - 3"
"SBCI";"MA0003";"Aeródromo Brigadeiro Lysias Augusto Rodrigues";"Carolina";"MA";"PBZR - 2"
"SNYE";"MA0004";"Aeródromo Pinheiro";"Pinheiro";"MA";"PBZR - 1"
"SNBI";"MA0005";"Aeródromo Bacabal";"Bacabal";"MA";"PBZR - 1"
"SNBC";"MA0006";"Aeródromo Barra do Corda";"Barra do Corda";"MA";"PBZR - 1"
"SJBY";"MA0007";"Aeródromo João Silva";"Santa Inês";"MA";"PBZR - 1"
"SSRS";"MA0008";"Aeródromo Barreirinhas";"Barreirinhas";"MA";"PBZR - 2"
"SNBS";"MA0010";"Aeródromo Balsas";"Balsas";"MA";"PBZR - 2"
"SBZM";"MG0006";"Aeródromo Presidente Itamar Franco";"Goianá";"MG";"PBZR - 3"
"SBIP";"MG0007";"Aeródromo Usiminas";"SANTANA DO PARAÍSO";"MG";"PBZR - 4"
"SNGX";"MG0023";"Aeródromo Guaxupé";"Guaxupé";"MG";"PBZR - 1"
"SBGV";"MG0032";"Aeródromo Coronel Altino Machado";"Governador Valadares";"MG";"PBZR - 4"
"SNVI";"MG0035";"Aeródromo Mello Viana";"Três Corações";"MG";"PBZR - 2"
"SNPA";"MG0052";"Aeródromo Pará de Minas";"PARÁ DE MINAS";"MG";"PBZR - 3"
"SNCT";"MG0056";"Aeródromo Caratinga";"Ubaporanga";"MG";"PBZR - 1"
"SNPU";"MG0073";"Aeródromo Paraguaçu";"Paraguaçu";"MG";"PBZR - 2"
"SBPP";"MS0005";"Aeródromo Ponta Porã";"Ponta Porã";"MS";"PBZR - 3"
"SBCR";"MS0009";"Aeródromo Corumbá";"Corumbá";"MS";"PBZR - 2"
"SSCL";"MS0018";"Aeródromo Cassilândia";"Cassilândia";"GO";"PBZR - 1"
"SBSO";"MT0005";"Aeródromo Regional de Sorriso Adolino Bedin";"Sorriso ";"MT";"PBZR - 3"
"SBBW";"MT0008";"Aeródromo Barra do Garças";"Barra do Garças";"MT";"PBZR - 3"
"SWPY";"MT0023";"Aerodromo Primavera do Leste ";"Primavera do Leste";"MT";"PBZR - 2"
"SBCJ";"PA0006";"Aeródromo Carajás";"Parauapebas";"PA";"PBZR - 3"
"SBTB";"PA0012";"Aeródromo Trombetas";"Oriximiná";"PA";"PBZR - 2"
"SNTI";"PA0016";"Aeródromo Óbidos";"Óbidos";"PA";"PBZR - 1"
"SNMZ";"PA0020";"Aeródromo Porto De Moz";"Porto De Moz";"PA";"PBZR - 1"
"SNJO";"PB0002";"Aeródromo Aeroclube";"JOÃO PESSOA";"PB";"PBZR - 2"
"SJZA";"PB0004";"Aeródromo Pedro Vieira Moreira ";"Cajazeiras";"PB";"PBZR - 1"
"SNTS";"PB0005";"Aeródromo Patos";"Patos";"PB";"PBZR - 2"
"SNQD";"PB0006";"Aeródromo Sousa";"SOUSA";"PB";"PBZR - 1"
"SIBY";"PB0009";"Aeródromo Monteiro";"Monteiro";"PB";"PBZR - 1"
"SBFN";"PE0003";"Aeródromo Fernando de Noronha";"Fernando de Noronha";"PE";"PBZR - 3"
"SBPB";"PI0002";"Aeródromo Prefeito Doutor João Silva Filho";"Parnaíba";"PI";"PBZR - 1"
"SWKQ";"PI0004";"Aeródromo Serra da Capivara";"São Raimundo Nonato";"PI";"PBZR - 1"
"SSQT";"PR0013";"Aeródromo Castro";"Castro";"PR";"PBZR - 2"
"SSCR";"PR0016";"Aeródromo Ruben Berta";"Marechal Cândido Rondon ";"PR";"PBZR - 2"
"SBPO";"PR0018";"Aeródromo Pato Branco";"Pato Branco";"PR";"PBZR - 4"
"SSPS";"PR0036";"Aeródromo São Sebastião";"Palmas";"PR";"PBZR - 2"
"SBCB";"RJ0003";"Aeródromo Cabo Frio";"Cabo Frio";"RJ";"PBZR - 4"
"SBMI";"RJ0009";"Aeródromo Maricá";"Maricá";"RJ";"PBZR - 2"
"SNUC";"RN0003";"Aeródromo Açu";"Açu";"RN";"PBZR - 1"
"SNKN";"RN0004";"Aeródromo Currais Novos";"Currais Novos";"RN";"PBZR - 1"
"SNKK";"RN0005";"Aeródromo Caicó";"Caicó";"RN";"PBZR - 1"
"SBPK";"RS0005";"Aeródromo Pelotas";"Pelotas";"RS";"PBZR - 2"
"SBNM";"RS0008";"Aeródromo Santo Ângelo";"Santo Ângelo";"RS";"PBZR - 3"
"SBBG";"RS0010";"Aeródromo Comandante Gustavo Kraemer";"Bagé";"RS";"PBZR - 2"
"SBUG";"RS0012";"Aeródromo Rubem Berta";"Uruguaiana";"RS";"PBZR - 2"
"SSSD";"RS0017";"Aeródromo Soledade";"SOLEDADE";"RS";"PBZR - 1"
"SSCN";"RS0019";"Aeródromo Canela";"Canela";"RS";"PBZR - 1"
"SSGA";"RS0020";"Aeródromo Garibaldi";"Garibaldi";"RS";"PBZR - 2"
"SSNH";"RS0023";"Aeródromo Novo Hamburgo";"NOVO HAMBURGO";"RS";"PBZR - 2"
"SSVN";"RS0030";"Aeródromo Veranópolis";"VERANÓPOLIS";"RS";"PBZR - 1"
"SBJA";"SC0005";"Aeródromo Jaguaruna";"Jaguaruna";"SC";"PBZR - 3"
"SSBL";"SC0019";"Aeródromo Blumenau";"Blumenau";"SC";"PBZR - 2"
"SBAE";"SP0010";"Aeródromo Bauru/Arealva";"Bauru";"SP";"PBZR - 3"
"SIMK";"SP0011";"Aeródromo Tenente Lund Pressoto";"Franca";"SP";"PBZR - 4"
"SNBA";"SP0013";"Aeródromo Chafei Amsei";"Barretos";"SP";"PBZR - 4"
"SWXQ";"SP0015";"Aeródromo Lins";"Lins";"SP";"PBZR - 4"
"SNAX";"SP0016";"Aeródromo Marcelo Pires Halzhausen";"Assis";"SP";"PBZR - 4"
"SDBK";"SP0019";"Aeródromo Botucatu";"Botucatu";"SP";"PBZR - 4"
"SDDN";"SP0020";"Aeroporto Paulino Ribeiro de Andrade / Andradina";"Andradina";"SP";"PBZR - 2"
"SDDR";"SP0021";"Aeródromo Dracena";"Dracena";"SP";"PBZR - 4"
"SDOU";"SP0023";"Aeródromo Ourinhos";"Ourinhos";"SP";"PBZR - 4"
"SDPN";"SP0024";"Aeródromo Penápolis";"Penápolis";"SP";"PBZR - 4"
"SDTP";"SP0025";"Aeródromo José Vicente Faria Lima";"Tupã";"SP";"PBZR - 4"
"SDRR";"SP0028";"Aeródromo Avaré/Arandu";"Avaré";"SP";"PBZR - 4"
"SDSC";"SP0029";"Aeródromo Mário Pereira Lopes";"SÃO CARLOS";"SP";"PBZR - 4"
"SSRG";"SP0030";"Aeródromo Estadual de Registro";"Registro";"SP";"PBZR - 4"
"SDIM";"SP0033";"Aeródromo Itanhaém";"ITANHAÉM";"SP";"PBZR - 4"
